cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
909832,COSTCO WHOLESALE CORP /NEW,2018,20181026,0.179144385,0,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/cost10k9218.htm,
277948,CSX CORP,2018,20190206,0.187165775,0,https://www.sec.gov/Archives/edgar/data/277948/000027794819000011/csx-12312018x10k.htm,
26172,CUMMINS INC,2018,20190211,0.315508021,0,https://www.sec.gov/Archives/edgar/data/26172/000002617219000009/cmi201810-kdocument.htm,
64803,CVS HEALTH Corp,2018,20190228,0.35026738,1,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/cvs-2018231x10k.htm,['https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/ex131.htm']
313616,DANAHER CORP /DE/,2018,20190221,0.344919786,0,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/dhr-20181231x10xk.htm,
940944,DARDEN RESTAURANTS INC,2018,20180720,0.304812834,0,https://www.sec.gov/Archives/edgar/data/940944/000094094418000050/dri-201810xk.htm,
315189,DEERE & CO,2018,20181217,0.288770053,0,https://www.sec.gov/Archives/edgar/data/315189/000104746918007694/a2236950z10-k.htm,
715957,DOMINION ENERGY INC /VA/,2018,20190228,0.326203209,0,https://www.sec.gov/Archives/edgar/data/103682/000119312519057924/d662998d10k.htm,
29905,DOVER Corp,2018,20190215,0.272727273,0,https://www.sec.gov/Archives/edgar/data/29905/000002990519000019/wfx-20181231.htm,
936340,DTE ENERGY CO,2018,20190207,0.254010695,0,https://www.sec.gov/Archives/edgar/data/28385/000093634019000086/dteenergy2018123110k.htm,
1326160,Duke Energy CORP,2018,20190228,0.310160428,0,https://www.sec.gov/Archives/edgar/data/17797/000132616019000057/duk-20181231x10k.htm,
915389,EASTMAN CHEMICAL CO,2018,20190227,0.270053476,0,https://www.sec.gov/Archives/edgar/data/915389/000091538919000009/emn2018123110k.htm,
1551182,Eaton Corp plc,2018,20190227,0.248663102,0,https://www.sec.gov/Archives/edgar/data/1551182/000155118219000045/etn12312018form10-k.htm,
31462,ECOLAB INC.,2018,20190301,0.323529412,0,https://www.sec.gov/Archives/edgar/data/31462/000155837019001379/ecl-20181231x10k.htm,
827052,EDISON INTERNATIONAL,2018,20190228,0.28342246,0,https://www.sec.gov/Archives/edgar/data/92103/000082705219000034/eix-sceq4201810k.htm,
32604,EMERSON ELECTRIC CO,2018,20181119,0.243315508,0,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/emr-09302018x10xk.htm,
65984,ENTERGY CORP /DE/,2018,20190226,0.342245989,0,https://www.sec.gov/Archives/edgar/data/7323/000006598419000082/etr-12312018x10k.htm,
